championship_name,event,round,player_a,state_a,score_a,player_b,state_b,score_b,winner
38th National Games Uttarakhand,Indian Round Men Individual,Semi Final,Adarsh Panwar,Uttarakhand,2,Manish Manish,Uttar Pradesh,6,Manish Manish
38th National Games Uttarakhand,Indian Round Men Individual,Semi Final,Chingakham Singh,Manipur,2,Subham,Uttar Pradesh,6,Subham
38th National Games Uttarakhand,Indian Round Men Individual,Final,Manish Manish,Uttar Pradesh,,Subham,Uttar Pradesh,,
38th National Games Uttarakhand,Indian Round Men Individual,Winner,Manish Manish,Uttar Pradesh,,,,,
38th National Games Uttarakhand,Indian Round Men Individual,Round 1,Adarsh Panwar,Uttarakhand,0,Chingakham Singh,Manipur,0,
38th National Games Uttarakhand,Indian Round Men Individual,Round 2,Adarsh Panwar,Uttarakhand,,,,,
38th National Games Uttarakhand,Indian Round Men Individual,Bronze,Adarsh Panwar,Uttarakhand,6,Pradeep,Uttarakhand,0,Adarsh Panwar
38th National Games Uttarakhand,Indian Round Men Individual,Bronze,Kamal Kumar,Rajasthan,4,Sraban Mandangi,Odisha,6,Sraban Mandangi
38th National Games Uttarakhand,Indian Round Men Individual,Bronze,Chanambam Singh,Manipur,6,Ravi,Haryana,4,Chanambam Singh
38th National Games Uttarakhand,Indian Round Men Individual,Bronze,Jay Prakash,Bihar,2,Gemmeli Naidu,Andhra Pradesh,6,Gemmeli Naidu
38th National Games Uttarakhand,Indian Round Men Individual,Bronze,Manish Manish,Uttar Pradesh,6,Sanjaya Majhi,Odisha,2,Manish Manish
38th National Games Uttarakhand,Indian Round Men Individual,Bronze,Vai Bhav,Mizoram,2,Jaydeep Kushwaha,Uttar Pradesh,6,Jaydeep Kushwaha
38th National Games Uttarakhand,Indian Round Men Individual,Bronze,Ashish Malik,Haryana,6,Abhishek,Uttar Pradesh,2,Ashish Malik
