event_name,state_name,player_name,score
Recurve Women Individual,MAHARASHTRA,MUKTA MODGI,642
Recurve Women Individual,ASSAM,PROMILA DAIMARY,639
Recurve Women Individual,ASSAM,SONALI BASUMATARY,636
Recurve Women Individual,DELHI,GUNJAN KUMARI,636
Recurve Women Individual,GUJARAT,MAITRIBEN PADHIYAR,636
Recurve Women Individual,MADHYA PRADESH,JAHNVI DESHMUKH,635
Recurve Women Individual,WEST BENGAL,RUMA BISWAS,634
Recurve Women Individual,ASSAM,ANISHA DAS,631
Recurve Women Individual,WEST BENGAL,ADITI JAISWAL,631
Recurve Women Individual,RAJASTHAN,HARPREET KAUR,630
Recurve Women Individual,CHHATTISGARH,DIKSHA NAYAK,630
Recurve Women Individual,ANDHRA PRADESH,KONDAPAVULURI SRI,629
Recurve Women Individual,RAJASTHAN,PRANJAL THOLIYA,627
Recurve Women Individual,HARYANA,AVANI,626
Recurve Women Individual,PUNJAB,VEERPAL KAUR,626
Recurve Women Individual,JHARKHAND,TAMANNA VERMA,625
