event_name,name,state/unit
COMPOUND (WOMEN),Ankita Mourya,Chhattisgarh
COMPOUND (WOMEN),aarya mahobia,Chhattisgarh
COMPOUND (WOMEN),DRISTI BURAGOHAIN,Assam
COMPOUND (WOMEN),Anjali baro,Assam
COMPOUND (WOMEN),Mainaw Narzary,Assam
COMPOUND (WOMEN),Anuradha Boruah,Goa
COMPOUND (WOMEN),Phurba Doma Bhutia,Sikkim
COMPOUND (WOMEN),Rashmi Tamang,Sikkim
COMPOUND (WOMEN),Chomit lepcha,Sikkim
COMPOUND (WOMEN),Songphum lepcha,Sikkim
INDIAN ROUND (MEN),Monu kumar,Delhi
INDIAN ROUND (MEN),Subham,Uttar Pradesh
INDIAN ROUND (MEN),Pradeep,Uttarakhand
INDIAN ROUND (MEN),Jaydeep kushwaha,AIPSCB
INDIAN ROUND (MEN),Gaurav Sanjay Chandane,AIPSCB
INDIAN ROUND (MEN),Sanjaya majhi,Odisha
INDIAN ROUND (MEN),Shilheiba Leitanthem,Manipur
INDIAN ROUND (MEN),RAHUL,Haryana
INDIAN ROUND (MEN),Madho Birua,Jharkhand
INDIAN ROUND (MEN),Aniket Mahendra Gawade,Maharashtra
INDIAN ROUND (MEN),Roshan Narayanrao Solanke,Maharashtra
INDIAN ROUND (MEN),STANZIN SHEYSRAB,Ladakh
INDIAN ROUND (MEN),Gurveer singh,Punjab
INDIAN ROUND (MEN),GEMMELI BIRAGHI NAIDU,Andhra Pradesh
INDIAN ROUND (MEN),Ashish,Haryana
INDIAN ROUND (MEN),Ravi,Haryana
INDIAN ROUND (MEN),Dabburam,Haryana
INDIAN ROUND (MEN),Chanambam Borish Singh,Manipur
INDIAN ROUND (MEN),Gurveer singh,Punjab
INDIAN ROUND (MEN),Balkar singh,Punjab
INDIAN ROUND (MEN),Pirthi singh,Punjab
INDIAN ROUND (MEN),GURMANN KAMBOJ,Punjab
INDIAN ROUND (MEN),Jay Prakash,Bihar
INDIAN ROUND (MEN),MONU DAS,Assam
INDIAN ROUND (MEN),RAJESH NARZARY,Assam
INDIAN ROUND (MEN),Jwngsrang basumatary,Assam
INDIAN ROUND (MEN),Ritumoni Swargiary,Assam
INDIAN ROUND (MEN),TRINATH MUNDA,Odisha
INDIAN ROUND (MEN),Abhishek Kumar Singh,Madhya Pradesh
INDIAN ROUND (MEN),SUDHAKAR NAIDU ADAPA,Andhra Pradesh
INDIAN ROUND (MEN),GUDURU VENKATA LOKESH,Andhra Pradesh
INDIAN ROUND (MEN),Dasarath Rajagopal,Kerala
INDIAN ROUND (MEN),RAJESH NARZARY,Assam
INDIAN ROUND (MEN),Stanzin Nurboo,Ladakh
INDIAN ROUND (MEN),Tsering Murup,Ladakh
INDIAN ROUND (MEN),Chungkham Harichandra Singh,Nagaland
INDIAN ROUND (MEN),Abhishek kumar,Delhi
INDIAN ROUND (MEN),ASHISH KUMAR,Chhattisgarh
INDIAN ROUND (MEN),AMAN PRAKASH,Chhattisgarh
INDIAN ROUND (MEN),Prem Prakash Yadav,Chhattisgarh
INDIAN ROUND (MEN),Manglu markam,Chhattisgarh
INDIAN ROUND (MEN),Manchua Pyrbot,Meghalaya
INDIAN ROUND (MEN),Keisham Borish Singh,Manipur
INDIAN ROUND (MEN),Chaanuri Charanch,Telangana
INDIAN ROUND (MEN),MUTHI CHARAN,Telangana
INDIAN ROUND (MEN),Isak Lalchuoilova,Mizoram
INDIAN ROUND (MEN),Vaibhav,Mizoram
INDIAN ROUND (MEN),Arjun Choudhary,Mizoram
INDIAN ROUND (MEN),K LALROSANGA,Mizoram
INDIAN ROUND (MEN),Hunwang Khimhun,Arunachal Pradesh
INDIAN ROUND (MEN),Nini Tamuk,Arunachal Pradesh
INDIAN ROUND (MEN),Arian rai,Sikkim
INDIAN ROUND (MEN),Azeeb rai,Sikkim
INDIAN ROUND (MEN),Sunil Murmu,West Bengal
INDIAN ROUND (MEN),Deep Banik,West Bengal
INDIAN ROUND (MEN),Rajusing Sardar,West Bengal
INDIAN ROUND (MEN),Sunil Murmu,West Bengal
INDIAN ROUND (MEN),Sawan kumar,Chandigarh
INDIAN ROUND (MEN),Priyanshu,Chandigarh
INDIAN ROUND (MEN),KARAN SINGH,Chandigarh
INDIAN ROUND (MEN),BHUVESH KUMAR,Chandigarh
